year,province_name,avg_temperature,min_temperature,max_temperature,surface_temperature,wet_bulb_temperature,precipitation,solar_radiation,relative_humidity,wind_speed,surface_pressure
2016,Ba Ria - Vung Tau,27.643076923076926,20.51,34.73,28.93769230769231,25.656153846153845,5.332307692307693,19.503846153846155,79.67076923076924,4.956153846153847,100.56153846153846
2017,Ba Ria - Vung Tau,27.441538461538464,20.32,33.6,28.48076923076923,25.54153846153846,4.358461538461539,19.10923076923077,80.28846153846153,4.531538461538461,100.53846153846153
2018,Ba Ria - Vung Tau,27.410769230769233,20.43,32.9,28.592307692307692,25.412307692307692,4.93076923076923,19.563076923076924,79.50692307692307,5.1038461538461535,100.53999999999999
2019,Ba Ria - Vung Tau,27.716153846153848,21.67,33.4,28.921538461538464,25.66,4.246923076923077,20.173846153846153,78.91384615384617,5.073076923076924,100.59538461538462
2020,Ba Ria - Vung Tau,27.76846153846154,21.0,34.29,29.184615384615384,25.616923076923076,5.196153846153846,19.685384615384613,78.08461538461539,4.700769230769231,100.54923076923077
2021,Ba Ria - Vung Tau,27.26923076923077,19.89,33.09,28.422307692307694,25.365384615384617,4.83,19.443076923076923,80.23692307692308,4.630769230769231,100.53461538461539
2022,Ba Ria - Vung Tau,27.483846153846155,21.0,32.67,28.51846153846154,25.565384615384616,4.890769230769231,19.255384615384614,80.13923076923076,4.404615384615385,100.47538461538463
2023,Ba Ria - Vung Tau,27.819230769230767,21.65,34.26,28.820769230769233,25.863076923076925,5.202307692307692,19.41,79.92307692307692,4.589230769230769,100.54461538461538
2024,Ba Ria - Vung Tau,28.256923076923076,22.07,35.0,29.571538461538463,26.166923076923077,5.018461538461538,19.486153846153847,78.78153846153847,4.680000000000001,100.52230769230769
1995,Bac Giang,22.03076923076923,2.88,35.53,22.220769230769232,20.32384615384615,3.333846153846154,13.754615384615384,82.21153846153847,2.327692307692308,99.35461538461537
1996,Bac Giang,22.02,1.56,38.6,22.25846153846154,20.134615384615383,4.067692307692308,13.757692307692308,80.62461538461538,2.3992307692307695,99.29846153846155
1997,Bac Giang,22.46076923076923,4.62,34.88,22.658461538461538,20.946153846153848,4.888461538461539,13.251538461538463,83.96153846153847,2.1330769230769233,99.33384615384615
1998,Bac Giang,23.116153846153846,3.83,36.08,23.218461538461536,21.29769230769231,3.417692307692308,14.459999999999999,81.32307692307693,2.2376923076923076,99.28846153846153
1999,Bac Giang,22.638461538461538,-1.01,37.08,22.907692307692308,20.606153846153845,3.9892307692307694,14.133076923076922,79.56461538461538,2.2053846153846157,99.27076923076923
2000,Bac Giang,22.50230769230769,1.32,34.9,22.779230769230768,20.54,3.3376923076923077,13.818461538461538,80.00846153846155,2.2153846153846155,99.25384615384615
2001,Bac Giang,22.525384615384613,3.75,40.06,22.764615384615386,20.706923076923076,4.975384615384616,12.67,81.35307692307691,2.212307692307692,99.26384615384616
2002,Bac Giang,22.60153846153846,0.47,35.14,22.763846153846153,20.942307692307693,3.762307692307693,12.584615384615384,82.69615384615385,2.2192307692307693,99.3076923076923
2003,Bac Giang,22.98153846153846,0.25,40.05,23.20307692307692,20.982307692307693,3.5961538461538463,14.266153846153847,79.84615384615384,2.266923076923077,99.33076923076922
2004,Bac Giang,22.522307692307695,3.45,35.74,22.752307692307696,20.36230769230769,3.6623076923076923,13.488461538461538,78.26923076923077,2.0684615384615386,99.37230769230769
2005,Bac Giang,22.78846153846154,0.66,39.96,23.104615384615386,20.672307692307694,4.153846153846154,13.092307692307692,78.88461538461539,2.2884615384615383,99.30384615384615
2006,Bac Giang,22.98769230769231,2.85,40.17,23.273076923076925,20.87076923076923,3.1276923076923073,13.11923076923077,78.91461538461539,2.1623076923076923,99.29307692307692
2007,Bac Giang,22.782307692307693,4.83,39.73,23.065384615384616,20.483076923076922,3.6569230769230767,13.518461538461539,77.37384615384616,2.279230769230769,99.30307692307693
2008,Bac Giang,21.79615384615385,2.92,38.47,22.051538461538463,19.83153846153846,4.820769230769231,12.772307692307692,79.98615384615384,2.183846153846154,99.32307692307693
2009,Bac Giang,22.64076923076923,2.55,34.51,22.779999999999998,20.87076923076923,3.416923076923077,13.746923076923078,81.62384615384615,2.1092307692307695,99.24307692307693
2010,Bac Giang,22.745384615384616,3.31,38.03,22.99846153846154,20.826923076923077,3.5730769230769233,13.04076923076923,80.5276923076923,2.309230769230769,99.26923076923077
2011,Bac Giang,21.506923076923076,1.26,36.18,21.794615384615383,19.502307692307692,3.9784615384615383,12.680769230769231,79.38846153846154,2.2830769230769232,99.34538461538462
2012,Bac Giang,22.549999999999997,2.85,40.05,22.847692307692306,20.857692307692307,4.508461538461538,12.407692307692306,82.52615384615385,2.2123076923076925,99.17384615384616
2013,Bac Giang,22.127692307692307,1.59,35.75,22.240000000000002,20.50923076923077,5.34,13.018461538461539,82.99,2.246153846153846,99.28461538461539
2014,Bac Giang,22.299999999999997,2.09,35.45,22.39692307692308,20.78076923076923,3.852307692307692,12.707692307692307,83.86999999999999,2.1161538461538463,99.30461538461539
2015,Bac Giang,23.11846153846154,4.67,36.97,23.30923076923077,21.52846153846154,4.431538461538461,13.376923076923077,83.46692307692307,2.18,99.32307692307693
2016,Bac Giang,22.515384615384615,1.43,34.78,22.62230769230769,20.91769230769231,4.213076923076923,13.625384615384615,83.19153846153846,2.1523076923076925,99.29692307692306
2017,Bac Giang,22.67615384615385,2.3,36.87,22.838461538461537,21.073076923076922,5.143846153846154,12.688461538461537,83.27076923076923,2.1538461538461537,99.34307692307692
2018,Bac Giang,22.535384615384615,1.92,34.71,22.665384615384614,20.983076923076922,4.9969230769230775,13.11153846153846,83.70307692307694,2.161538461538462,99.27153846153846
2019,Bac Giang,23.303076923076922,3.61,35.55,23.37076923076923,21.865384615384617,4.285384615384616,13.039230769230768,84.75153846153846,2.123846153846154,99.2623076923077
2020,Bac Giang,22.651538461538465,2.99,35.14,22.756923076923076,21.22153846153846,4.9253846153846155,12.989230769230769,84.73538461538462,2.4553846153846153,99.34076923076924
2021,Bac Giang,22.773846153846154,2.13,34.78,22.841538461538462,21.18769230769231,4.350769230769231,13.395384615384614,83.27230769230769,2.24,99.31153846153846
2022,Bac Giang,22.25,3.44,34.21,22.326923076923077,20.732307692307693,5.3961538461538465,13.376923076923077,83.94923076923077,2.2184615384615385,99.30923076923077
2023,Bac Giang,23.24230769230769,2.49,37.98,23.35153846153846,21.529999999999998,4.0976923076923075,13.384615384615385,82.3153846153846,2.1815384615384614,99.30923076923077
2024,Bac Giang,23.364615384615384,2.2,37.87,23.46923076923077,21.73076923076923,5.844615384615385,12.793846153846154,83.01769230769231,2.3184615384615386,99.27384615384615
1995,Bac Kan,21.393076923076926,2.92,35.47,21.449230769230773,19.626923076923077,3.126923076923077,13.641538461538461,81.86538461538461,1.3299999999999998,97.75538461538461
1996,Bac Kan,21.326153846153847,1.14,38.48,21.39923076923077,19.406923076923075,3.9823076923076925,13.063076923076922,80.51461538461538,1.3753846153846152,97.69999999999999
1997,Bac Kan,21.793846153846154,3.5,35.52,21.87846153846154,20.212307692307693,4.612307692307692,13.396923076923077,83.60769230769232,1.213076923076923,97.73615384615384
1998,Bac Kan,22.436923076923076,3.56,35.28,22.400769230769228,20.536923076923078,3.296923076923077,14.326153846153847,80.80076923076923,1.2376923076923076,97.70076923076924
1999,Bac Kan,21.95384615384615,-0.11,36.77,22.03846153846154,19.915384615384614,4.016923076923077,13.50076923076923,79.7030769230769,1.2376923076923076,97.68076923076923
2000,Bac Kan,21.79769230769231,-0.66,34.76,21.876153846153844,19.874615384615385,3.3669230769230767,13.621538461538462,80.51076923076923,1.2630769230769232,97.66230769230768
2001,Bac Kan,21.904615384615383,4.04,39.02,21.963076923076922,20.022307692307695,4.450769230769231,12.836923076923076,80.95538461538462,1.2446153846153847,97.67384615384616
2002,Bac Kan,22.009999999999998,-0.59,35.87,22.051538461538463,20.232307692307693,3.7823076923076924,12.847692307692306,81.85076923076923,1.263076923076923,97.71461538461539
2003,Bac Kan,22.25230769230769,0.66,39.77,22.301538461538463,20.24076923076923,3.446923076923077,13.792307692307693,79.87692307692308,1.2961538461538462,97.73923076923076
2004,Bac Kan,21.754615384615384,1.88,36.31,21.799999999999997,19.603076923076923,3.4030769230769233,13.443846153846152,78.47384615384615,1.2023076923076923,97.78
2005,Bac Kan,22.058461538461536,-0.07,40.14,22.207692307692305,19.943076923076923,4.010769230769231,13.282307692307693,79.04846153846152,1.29,97.71384615384615
2006,Bac Kan,22.33230769230769,1.74,39.63,22.48,20.176923076923078,3.031538461538462,13.102307692307694,78.80461538461539,1.2407692307692306,97.70076923076924
2007,Bac Kan,22.076923076923077,2.96,39.17,22.173846153846153,19.76923076923077,3.6046153846153848,13.392307692307693,77.45923076923077,1.2915384615384615,97.71461538461539
2008,Bac Kan,21.173076923076923,2.36,38.15,21.253076923076925,19.17076923076923,4.61,12.362307692307693,79.85076923076923,1.2384615384615385,97.72615384615385
2009,Bac Kan,22.013846153846153,2.3,34.86,22.034615384615385,20.16769230769231,3.2415384615384615,13.297692307692309,81.15153846153846,1.2184615384615385,97.65
2010,Bac Kan,22.13923076923077,3.78,38.52,22.27076923076923,20.096153846153847,3.4153846153846152,13.36076923076923,79.71384615384615,1.2953846153846154,97.67153846153846
2011,Bac Kan,20.907692307692308,1.4,36.73,21.060769230769232,18.875384615384615,3.556923076923077,12.316923076923077,79.39615384615385,1.2892307692307692,97.74923076923076
2012,Bac Kan,21.966153846153848,3.08,40.83,22.16846153846154,20.137692307692305,4.007692307692308,12.38923076923077,81.59153846153846,1.2876923076923075,97.58076923076922
2013,Bac Kan,21.593846153846155,0.54,36.92,21.62846153846154,19.84307692307692,4.96076923076923,13.017692307692307,82.08,1.2630769230769232,97.69307692307692
2014,Bac Kan,21.692307692307693,1.99,36.51,21.692307692307693,20.12,3.8784615384615386,12.863846153846152,83.57,1.2246153846153847,97.70769230769231
2015,Bac Kan,22.414615384615384,4.58,35.96,22.48,20.79153846153846,4.326153846153846,13.446153846153846,83.35769230769232,1.2192307692307691,97.72923076923077
2016,Bac Kan,21.99230769230769,1.08,35.44,21.996153846153845,20.283076923076923,3.7253846153846153,13.896153846153847,82.42538461538462,1.2107692307692308,97.70538461538462
2017,Bac Kan,22.04615384615385,1.46,36.52,22.08076923076923,20.406153846153845,5.184615384615385,12.589230769230769,83.08769230769232,1.2146153846153847,97.75076923076924
2018,Bac Kan,21.939999999999998,1.72,35.54,21.963846153846152,20.34307692307692,4.842307692307693,12.885384615384615,83.45846153846153,1.246923076923077,97.67692307692307
2019,Bac Kan,22.669999999999998,2.94,35.84,22.643076923076926,21.161538461538463,4.5307692307692315,12.994615384615384,84.31230769230768,1.213076923076923,97.67384615384616
2020,Bac Kan,22.0,2.28,34.99,22.04,20.53923076923077,4.656153846153846,12.637692307692307,84.66538461538462,1.3646153846153846,97.74384615384616
2021,Bac Kan,22.158461538461538,1.34,35.52,22.13923076923077,20.52769230769231,4.082307692307692,13.44076923076923,83.0576923076923,1.2807692307692307,97.72230769230768
2022,Bac Kan,21.69076923076923,3.19,36.88,21.681538461538462,20.12230769230769,5.047692307692308,12.834615384615384,83.67076923076924,1.2684615384615383,97.71307692307693
2023,Bac Kan,22.663076923076922,1.69,38.41,22.64692307692308,20.856923076923074,3.828461538461539,13.763846153846155,81.71076923076923,1.2492307692307694,97.71923076923076
2024,Bac Kan,22.81076923076923,1.24,38.16,22.835384615384616,21.086153846153845,5.806923076923076,12.864615384615385,82.4546153846154,1.3192307692307692,97.68307692307692
1995,Bac Lieu,27.086923076923078,17.85,38.42,27.72846153846154,25.01230769230769,5.738461538461538,18.706923076923076,80.3076923076923,3.0492307692307694,100.92923076923077
1996,Bac Lieu,26.68846153846154,17.46,38.59,27.194615384615382,24.956923076923076,6.764615384615384,17.443846153846152,83.05692307692308,2.8369230769230773,100.88846153846154
1997,Bac Lieu,26.962307692307693,17.91,37.07,27.454615384615387,25.114615384615384,6.203846153846154,18.355384615384615,81.92384615384616,2.976923076923077,101.03307692307693
1998,Bac Lieu,28.004615384615384,19.36,39.49,28.78846153846154,25.727692307692305,6.775384615384615,18.36230769230769,79.04846153846155,3.042307692307692,100.92
1999,Bac Lieu,26.343846153846155,16.16,36.16,26.61769230769231,25.014615384615386,7.656153846153846,17.204615384615384,86.20923076923077,2.8307692307692305,100.86153846153846
2000,Bac Lieu,26.83153846153846,19.66,37.13,27.28923076923077,25.15,5.19923076923077,17.75923076923077,83.25,2.9346153846153844,100.83769230769232
2001,Bac Lieu,26.96076923076923,19.36,37.64,27.434615384615384,25.196153846153848,4.602307692307692,17.64923076923077,82.53384615384616,2.987692307692308,100.88307692307693
2002,Bac Lieu,27.293846153846154,18.89,38.89,27.927692307692308,25.17615384615385,4.344615384615384,18.62,79.89230769230768,3.319230769230769,100.96692307692307
2003,Bac Lieu,27.29769230769231,19.32,38.58,27.908461538461538,25.237692307692306,4.743846153846154,17.849999999999998,80.19692307692307,3.161538461538462,100.96000000000001
2004,Bac Lieu,27.292307692307695,20.56,38.36,27.955384615384617,25.094615384615388,3.7930769230769226,18.322307692307692,79.07923076923076,3.2084615384615387,100.97461538461539
2005,Bac Lieu,27.423076923076923,18.52,39.42,28.12307692307692,25.245384615384616,4.084615384615384,18.194615384615386,79.47923076923077,3.224615384615385,100.94923076923077
2006,Bac Lieu,27.134615384615383,19.57,37.5,27.624615384615385,25.294615384615383,4.414615384615384,17.64846153846154,81.92846153846153,3.07,100.93230769230769
2007,Bac Lieu,27.166153846153847,19.34,38.37,27.732307692307693,25.198461538461537,4.880769230769231,17.48153846153846,81.03846153846153,2.9699999999999998,100.89692307692309
2008,Bac Lieu,26.976153846153846,20.81,38.0,27.457692307692305,25.096153846153847,4.604615384615385,17.198461538461537,81.66461538461537,2.976153846153846,100.88846153846154
2009,Bac Lieu,26.966153846153848,17.33,38.36,27.335384615384616,25.244615384615386,4.110769230769231,17.373846153846156,82.78,2.9953846153846153,100.90230769230769
2010,Bac Lieu,27.854615384615386,21.01,40.16,28.593846153846155,25.573076923076922,4.093846153846154,17.96846153846154,78.58461538461539,2.796923076923077,100.91384615384617
2011,Bac Lieu,26.94,19.3,36.15,27.372307692307693,25.085384615384616,4.314615384615385,17.608461538461537,81.64692307692309,3.1469230769230774,100.88461538461539
2012,Bac Lieu,27.20846153846154,21.52,37.07,27.578461538461536,25.441538461538464,4.369230769230769,17.513076923076923,82.48307692307692,3.06,100.87615384615384
2013,Bac Lieu,27.318461538461538,19.84,39.11,27.79692307692308,25.299999999999997,4.031538461538461,17.22692307692308,80.43923076923078,2.957692307692308,100.9076923076923
2014,Bac Lieu,27.545384615384616,17.76,39.67,28.236153846153847,25.212307692307693,3.5276923076923077,18.11769230769231,78.02692307692308,2.87,100.96846153846153
2015,Bac Lieu,27.715384615384615,19.4,39.02,28.41769230769231,25.35076923076923,3.566153846153846,18.720000000000002,77.89076923076924,3.102307692307692,101.03846153846153
2016,Bac Lieu,27.767692307692307,20.32,40.19,28.428461538461537,25.626153846153844,5.443846153846153,17.706923076923076,80.06076923076922,3.1599999999999997,100.9523076923077
2017,Bac Lieu,27.12846153846154,17.36,38.44,27.474615384615387,25.494615384615386,5.553846153846154,17.376923076923077,83.59692307692308,2.8084615384615383,100.92999999999999
2018,Bac Lieu,27.176923076923078,19.21,37.54,27.57923076923077,25.42076923076923,5.66,17.40230769230769,82.62846153846155,2.996153846153846,100.93615384615386
2019,Bac Lieu,27.463076923076922,18.72,38.4,27.936923076923076,25.54,5.845384615384615,18.196923076923078,81.35461538461537,3.039230769230769,100.98615384615384
2020,Bac Lieu,27.692307692307693,19.66,38.62,28.313076923076924,25.592307692307692,7.263846153846154,18.193846153846152,79.99153846153847,2.9084615384615384,100.9346153846154
2021,Bac Lieu,27.08076923076923,18.62,39.59,27.533846153846152,25.34,6.276153846153846,17.49153846153846,82.81153846153846,2.838461538461538,100.9276923076923
2022,Bac Lieu,27.079230769230772,18.41,37.75,27.391538461538463,25.513846153846153,6.806153846153847,17.025384615384617,84.19153846153846,2.6553846153846155,100.86846153846153
2023,Bac Lieu,27.580000000000002,20.32,37.6,27.970000000000002,25.828461538461536,6.636923076923077,17.02846153846154,82.83153846153846,2.883846153846154,100.94076923076923
2024,Bac Lieu,28.24769230769231,18.72,40.79,28.87,26.156153846153845,6.153846153846154,17.56,80.29230769230769,2.9923076923076923,100.91
1995,Bac Ninh,23.0,3.84,37.04,23.192307692307693,21.316153846153846,3.506153846153846,13.754615384615384,82.49615384615385,2.3069230769230766,100.89
1996,Bac Ninh,23.024615384615384,3.09,39.2,23.281538461538464,21.14846153846154,4.251538461538462,13.757692307692308,80.80923076923077,2.3592307692307695,100.83538461538463
1997,Bac Ninh,23.470769230769232,6.18,36.15,23.669999999999998,21.951538461538462,5.054615384615384,13.251538461538463,84.01384615384616,2.153076923076923,100.86846153846153
1998,Bac Ninh,24.123076923076926,5.86,37.5,24.266153846153845,22.317692307692308,3.5507692307692307,14.459999999999999,81.53153846153847,2.21,100.81923076923077
1999,Bac Ninh,23.557692307692307,0.0,37.2,23.836923076923078,21.563846153846153,4.167692307692308,14.133076923076922,79.96461538461539,2.1484615384615386,100.80384615384615
2000,Bac Ninh,23.37846153846154,2.95,36.16,23.63769230769231,21.485384615384614,3.5546153846153845,13.818461538461538,80.67,2.1592307692307693,100.78846153846153
2001,Bac Ninh,23.463076923076922,5.07,40.86,23.714615384615385,21.685384615384617,5.359999999999999,12.67,81.7776923076923,2.164615384615385,100.7976923076923
2002,Bac Ninh,23.57384615384615,1.55,36.04,23.743076923076924,21.933846153846154,3.733076923076923,12.584615384615384,82.91692307692308,2.186923076923077,100.84153846153846
2003,Bac Ninh,24.03076923076923,1.54,41.25,24.27076923076923,22.02,3.779230769230769,14.266153846153847,79.87538461538462,2.2492307692307696,100.86076923076924
2004,Bac Ninh,23.490000000000002,5.18,36.56,23.746153846153845,21.383846153846154,3.786153846153846,13.488461538461538,78.83846153846154,2.0546153846153845,100.9076923076923
2005,Bac Ninh,23.83076923076923,2.1,41.44,24.189230769230768,21.678461538461537,4.267692307692308,13.092307692307692,78.69461538461539,2.2846153846153845,100.83384615384615
2006,Bac Ninh,23.925384615384612,4.75,40.92,24.196153846153848,21.854615384615386,3.347692307692308,13.11923076923077,79.36615384615385,2.1576923076923076,100.82384615384616
2007,Bac Ninh,23.700000000000003,5.99,39.83,23.98,21.50923076923077,3.6923076923076925,13.518461538461539,78.32538461538462,2.235384615384615,100.83461538461538
2008,Bac Ninh,22.76846153846154,4.54,38.68,23.02769230769231,20.857692307692307,4.844615384615385,12.772307692307692,80.50692307692307,2.126153846153846,100.86076923076924
2009,Bac Ninh,23.604615384615386,4.09,35.69,23.74923076923077,21.87230769230769,3.7046153846153844,13.746923076923078,82.04923076923077,2.082307692307692,100.77692307692307
2010,Bac Ninh,23.75153846153846,5.07,38.94,23.98846153846154,21.87230769230769,3.706153846153846,13.04076923076923,80.96615384615384,2.266153846153846,100.7976923076923
2011,Bac Ninh,22.41,3.55,36.12,22.678461538461537,20.49846153846154,4.393076923076923,12.680769230769231,80.29692307692306,2.210769230769231,100.88538461538461
2012,Bac Ninh,23.50076923076923,4.86,39.66,23.75076923076923,21.88,4.934615384615384,12.407692307692306,83.12692307692308,2.1376923076923076,100.70615384615385
