year,region_level,region_name,commodity,season,area_thousand_ha,yield_ta_per_ha,production_thousand_tonnes
1995,1,Kien Giang,sweet_potato,annual,1.0,,0.7
1995,1,Kon Tum,cassava,annual,8.7,,128.9
1995,1,Kon Tum,maize,annual,2.7,17.8,4.8
1995,1,Kon Tum,rice,main_rainy,16.2,17.7,28.7
1995,1,Kon Tum,rice,winter_spring,3.1,39.4,12.2
1995,1,Kon Tum,sweet_potato,annual,0.4,,2.9
1995,1,Lai Chau,cassava,annual,8.3,,56.6
1995,1,Lai Chau,maize,annual,27.2,11.1,30.1
1995,1,Lai Chau,rice,main_rainy,41.9,19.3,80.8
1995,1,Lai Chau,rice,winter_spring,5.5,36.4,20.0
1995,1,Lai Chau,sweet_potato,annual,0.7,,3.3
1995,1,Lam Dong,maize,annual,12.1,35.5,42.9
1995,1,Lam Dong,rice,main_rainy,25.1,25.9,65.1
1995,1,Lam Dong,rice,summer_autumn_fall,,,
1995,1,Lam Dong,rice,winter_spring,5.0,31.4,15.7
1995,1,Lam Dong,sweet_potato,annual,2.9,,15.5
1995,1,Lang Son,cassava,annual,4.0,,28.5
1995,1,Lang Son,maize,annual,10.4,20.8,21.6
1995,1,Lang Son,rice,main_rainy,34.6,23.8,82.3
1995,1,Lang Son,rice,winter_spring,10.8,42.8,46.2
1995,1,Lang Son,sweet_potato,annual,2.1,,6.5
1995,1,Lao Cai,cassava,annual,5.2,,48.8
1995,1,Lao Cai,maize,annual,19.3,14.4,27.7
1995,1,Lao Cai,rice,main_rainy,26.4,21.2,56.0
1995,1,Lao Cai,rice,winter_spring,6.7,39.6,26.5
1995,1,Lao Cai,sweet_potato,annual,0.6,,3.2
1995,1,Long An,cassava,annual,2.6,,14.4
1995,1,Long An,maize,annual,0.1,40.0,0.4
1995,1,Long An,rice,main_rainy,49.7,15.4,76.3
1995,1,Long An,rice,summer_autumn_fall,120.0,29.2,350.0
1995,1,Long An,rice,winter_spring,156.0,37.8,589.5
1995,1,Long An,sweet_potato,annual,0.0,,0.1
1995,1,Nam Dinh,maize,annual,6.9,29.0,20.0
1995,1,Nam Dinh,rice,main_rainy,82.6,42.5,351.4
1995,1,Nam Dinh,rice,winter_spring,80.9,53.9,435.8
1995,1,Nam Dinh,sweet_potato,annual,7.8,,60.4
1995,1,Nghe An,cassava,annual,11.3,,50.2
1995,1,Nghe An,maize,annual,24.7,13.3,32.8
1995,1,Nghe An,rice,main_rainy,64.3,19.0,122.3
1995,1,Nghe An,rice,summer_autumn_fall,44.8,32.1,143.8
1995,1,Nghe An,rice,winter_spring,79.1,38.7,306.3
1995,1,Nghe An,sweet_potato,annual,34.1,,133.4
1995,1,Ninh Binh,maize,annual,5.2,19.4,10.1
1995,1,Ninh Binh,rice,main_rainy,39.4,35.2,138.8
1995,1,Ninh Binh,rice,winter_spring,40.9,43.5,178.0
1995,1,Ninh Binh,sweet_potato,annual,4.6,,21.5
1995,1,Ninh Thuan,maize,annual,6.8,9.9,6.7
1995,1,Ninh Thuan,rice,main_rainy,12.2,36.2,44.2
1995,1,Ninh Thuan,rice,summer_autumn_fall,8.4,43.7,36.7
1995,1,Ninh Thuan,rice,winter_spring,9.6,46.1,44.3
1995,1,Ninh Thuan,sweet_potato,annual,0.2,,0.6
1995,1,Phu Tho,cassava,annual,8.6,,72.9
1995,1,Phu Tho,maize,annual,9.6,24.9,23.9
1995,1,Phu Tho,rice,main_rainy,34.4,28.4,97.7
1995,1,Phu Tho,rice,winter_spring,35.9,24.2,87.0
1995,1,Phu Tho,sweet_potato,annual,5.0,,28.3
1995,1,Phu Yen,cassava,annual,3.0,,30.5
1995,1,Phu Yen,maize,annual,2.9,5.2,1.5
1995,1,Phu Yen,rice,main_rainy,14.5,22.8,33.0
1995,1,Phu Yen,rice,summer_autumn_fall,21.3,51.3,109.3
1995,1,Phu Yen,rice,winter_spring,23.1,49.5,114.3
1995,1,Phu Yen,sweet_potato,annual,1.1,,4.6
1995,1,Quang Binh,cassava,annual,4.3,,7.0
1995,1,Quang Binh,maize,annual,2.7,17.4,4.7
1995,1,Quang Binh,rice,main_rainy,6.6,8.8,5.8
1995,1,Quang Binh,rice,summer_autumn_fall,13.8,22.5,31.1
1995,1,Quang Binh,rice,winter_spring,25.2,34.5,87.0
1995,1,Quang Binh,sweet_potato,annual,8.5,,38.7
1995,1,Quang Nam,cassava,annual,14.6,,110.1
1995,1,Quang Nam,maize,annual,5.7,19.5,11.1
1995,1,Quang Nam,rice,main_rainy,44.7,26.5,118.6
1995,1,Quang Nam,rice,summer_autumn_fall,19.2,39.5,75.9
1995,1,Quang Nam,rice,winter_spring,42.3,26.9,113.9
1995,1,Quang Nam,sweet_potato,annual,14.9,,65.3
1995,1,Quang Ngai,cassava,annual,11.0,,71.8
1995,1,Quang Ngai,maize,annual,4.5,18.9,8.5
1995,1,Quang Ngai,rice,main_rainy,28.9,22.4,64.8
1995,1,Quang Ngai,rice,summer_autumn_fall,24.3,37.3,90.6
1995,1,Quang Ngai,rice,winter_spring,34.3,28.1,96.5
1995,1,Quang Ngai,sweet_potato,annual,7.7,,33.8
1995,1,Quang Ninh,maize,annual,2.8,21.4,6.0
1995,1,Quang Ninh,rice,main_rainy,28.0,25.4,71.0
1995,1,Quang Ninh,rice,winter_spring,17.1,26.7,45.7
1995,1,Quang Ninh,sweet_potato,annual,7.9,,44.1
1995,1,Quang Tri,cassava,annual,4.1,,31.3
1995,1,Quang Tri,maize,annual,1.6,10.0,1.6
1995,1,Quang Tri,rice,main_rainy,6.4,7.3,4.7
1995,1,Quang Tri,rice,summer_autumn_fall,15.5,31.2,48.3
1995,1,Quang Tri,rice,winter_spring,20.4,33.3,68.0
1995,1,Quang Tri,sweet_potato,annual,5.5,,22.7
1995,1,Soc Trang,maize,annual,2.4,20.0,4.8
1995,1,Soc Trang,rice,main_rainy,132.6,32.2,426.4
1995,1,Soc Trang,rice,summer_autumn_fall,98.0,45.4,445.4
1995,1,Soc Trang,rice,winter_spring,45.0,48.1,216.3
1995,1,Soc Trang,sweet_potato,annual,1.4,,14.2
1995,1,Son La,cassava,annual,13.7,,100.4
1995,1,Son La,maize,annual,25.2,18.1,45.6
1995,1,Son La,rice,main_rainy,37.7,19.3,72.8
1995,1,Son La,rice,winter_spring,5.9,45.1,26.6
1995,1,Son La,sweet_potato,annual,0.3,,1.7
1995,1,TP Ho Chi Minh,maize,annual,0.7,18.6,1.3
1995,1,TP Ho Chi Minh,rice,main_rainy,54.7,28.5,156.1
1995,1,TP Ho Chi Minh,rice,summer_autumn_fall,13.9,33.8,47.0
1995,1,TP Ho Chi Minh,rice,winter_spring,10.9,31.3,34.1
1995,1,TP Ho Chi Minh,sweet_potato,annual,0.3,,1.6
1995,1,Tay Ninh,cassava,annual,14.6,,230.9
1995,1,Tay Ninh,maize,annual,0.6,18.3,1.1
1995,1,Tay Ninh,rice,main_rainy,74.0,20.3,150.2
1995,1,Tay Ninh,rice,summer_autumn_fall,29.1,26.6,77.4
1995,1,Tay Ninh,rice,winter_spring,24.2,33.2,80.3
1995,1,Tay Ninh,sweet_potato,annual,,,
1995,1,Thai Binh,maize,annual,8.5,31.6,26.9
1995,1,Thai Binh,rice,main_rainy,86.0,50.8,436.5
1995,1,Thai Binh,rice,winter_spring,83.4,60.3,503.0
1995,1,Thai Binh,sweet_potato,annual,9.7,,79.9
1995,1,Thai Nguyen,cassava,annual,2.4,,19.0
1995,1,Thai Nguyen,maize,annual,5.2,19.4,10.1
1995,1,Thai Nguyen,rice,main_rainy,37.5,30.3,113.5
1995,1,Thai Nguyen,rice,winter_spring,21.6,30.4,65.6
1995,1,Thai Nguyen,sweet_potato,annual,10.8,,41.7
1995,1,Thanh Hoa,cassava,annual,14.4,,90.1
1995,1,Thanh Hoa,maize,annual,31.5,21.7,68.2
1995,1,Thanh Hoa,rice,main_rainy,137.0,30.0,410.8
1995,1,Thanh Hoa,rice,winter_spring,113.4,38.6,437.6
1995,1,Thanh Hoa,sweet_potato,annual,34.0,,168.6
1995,1,Thua Thien Hue,cassava,annual,5.5,,39.5
1995,1,Thua Thien Hue,maize,annual,0.7,15.7,1.1
1995,1,Thua Thien Hue,rice,main_rainy,1.0,10.0,1.0
1995,1,Thua Thien Hue,rice,summer_autumn_fall,21.5,34.9,75.1
1995,1,Thua Thien Hue,rice,winter_spring,26.0,34.8,90.5
1995,1,Thua Thien Hue,sweet_potato,annual,7.7,,37.8
1995,1,Tien Giang,maize,annual,1.7,18.8,3.2
1995,1,Tien Giang,rice,main_rainy,11.4,36.7,41.8
1995,1,Tien Giang,rice,summer_autumn_fall,178.6,40.0,714.0
1995,1,Tien Giang,rice,winter_spring,79.3,55.0,435.8
1995,1,Tien Giang,sweet_potato,annual,0.9,,5.2
1995,1,Tra Vinh,maize,annual,1.7,8.2,1.4
1995,1,Tra Vinh,rice,main_rainy,84.3,30.5,257.3
1995,1,Tra Vinh,rice,summer_autumn_fall,50.0,44.1,220.5
1995,1,Tra Vinh,rice,winter_spring,35.0,48.5,169.6
1995,1,Tra Vinh,sweet_potato,annual,1.8,,21.7
1995,1,Tuyen Quang,cassava,annual,4.5,,38.5
1995,1,Tuyen Quang,maize,annual,12.2,20.3,24.8
1995,1,Tuyen Quang,rice,main_rainy,26.4,34.1,90.0
1995,1,Tuyen Quang,rice,winter_spring,13.9,31.4,43.7
1995,1,Tuyen Quang,sweet_potato,annual,1.8,,7.9
1995,1,Vinh Long,cassava,annual,0.4,,5.2
1995,1,Vinh Long,maize,annual,0.7,14.3,1.0
1995,1,Vinh Long,rice,main_rainy,9.3,37.6,35.0
1995,1,Vinh Long,rice,summer_autumn_fall,124.0,36.0,446.7
1995,1,Vinh Long,rice,winter_spring,72.7,52.3,379.9
1995,1,Vinh Long,sweet_potato,annual,1.9,,44.6
1995,1,Vinh Phuc,maize,annual,16.2,23.8,38.5
1995,1,Vinh Phuc,rice,main_rainy,35.1,30.0,105.3
1995,1,Vinh Phuc,rice,winter_spring,36.9,30.0,110.8
1995,1,Vinh Phuc,sweet_potato,annual,8.0,,47.3
1995,1,Yen Bai,cassava,annual,8.1,,74.2
1995,1,Yen Bai,maize,annual,6.1,15.4,9.4
1995,1,Yen Bai,rice,main_rainy,24.3,28.4,69.1
1995,1,Yen Bai,rice,winter_spring,14.2,36.3,51.6
1995,1,Yen Bai,sweet_potato,annual,1.2,,4.8
1996,1,An Giang,cassava,annual,1.2,,18.4
1996,1,An Giang,maize,annual,8.6,65.3,56.2
1996,1,An Giang,rice,main_rainy,22.3,19.4,43.3
1996,1,An Giang,rice,summer_autumn_fall,206.7,38.5,795.7
1996,1,An Giang,rice,winter_spring,188.2,60.2,1132.5
1996,1,An Giang,sweet_potato,annual,0.2,,2.0
1996,1,Ba Ria - Vung Tau,cassava,annual,6.7,,39.3
1996,1,Ba Ria - Vung Tau,maize,annual,15.7,31.8,50.0
1996,1,Ba Ria - Vung Tau,rice,main_rainy,13.1,27.6,36.2
1996,1,Ba Ria - Vung Tau,rice,summer_autumn_fall,4.2,31.0,13.0
1996,1,Ba Ria - Vung Tau,rice,winter_spring,4.0,36.8,14.7
1996,1,Ba Ria - Vung Tau,sweet_potato,annual,1.0,,3.9
1996,1,Bac Giang,cassava,annual,6.6,,49.5
1996,1,Bac Giang,maize,annual,10.5,24.6,25.8
1996,1,Bac Giang,rice,main_rainy,61.4,27.2,167.1
1996,1,Bac Giang,rice,winter_spring,49.2,34.2,168.5
1996,1,Bac Giang,sweet_potato,annual,20.1,,106.1
1996,1,Bac Kan,cassava,annual,1.5,,10.1
1996,1,Bac Kan,maize,annual,4.6,20.2,9.3
1996,1,Bac Kan,rice,main_rainy,14.3,29.6,42.3
1996,1,Bac Kan,rice,winter_spring,3.5,33.1,11.6
1996,1,Bac Kan,sweet_potato,annual,0.2,,0.7
1996,1,Bac Lieu,maize,annual,0.1,30.0,0.3
1996,1,Bac Lieu,rice,main_rainy,109.4,42.6,465.9
1996,1,Bac Lieu,rice,summer_autumn_fall,29.3,29.3,85.9
1996,1,Bac Lieu,rice,winter_spring,1.1,27.3,3.0
1996,1,Bac Lieu,sweet_potato,annual,0.2,,1.1
1996,1,Bac Ninh,maize,annual,5.3,25.7,13.6
1996,1,Bac Ninh,rice,main_rainy,40.1,30.6,122.9
1996,1,Bac Ninh,rice,winter_spring,39.3,43.6,171.5
1996,1,Bac Ninh,sweet_potato,annual,4.3,,25.9
1996,1,Ben Tre,maize,annual,1.2,25.8,3.1
1996,1,Ben Tre,rice,main_rainy,50.0,32.4,162.1
1996,1,Ben Tre,rice,summer_autumn_fall,25.9,36.9,95.5
1996,1,Ben Tre,rice,winter_spring,21.8,43.6,95.1
1996,1,Ben Tre,sweet_potato,annual,0.6,,10.0
1996,1,Binh Dinh,cassava,annual,10.5,,66.0
1996,1,Binh Dinh,maize,annual,1.3,33.1,4.3
1996,1,Binh Dinh,rice,main_rainy,39.7,27.9,110.9
1996,1,Binh Dinh,rice,summer_autumn_fall,38.4,39.8,152.8
1996,1,Binh Dinh,rice,winter_spring,45.9,38.2,175.5
1996,1,Binh Dinh,sweet_potato,annual,1.5,,4.9
1996,1,Binh Duong,cassava,annual,2.3,,19.6
1996,1,Binh Duong,maize,annual,1.9,7.4,1.4
1996,1,Binh Duong,rice,main_rainy,16.3,22.8,37.2
1996,1,Binh Duong,rice,summer_autumn_fall,3.6,26.1,9.4
1996,1,Binh Duong,rice,winter_spring,6.3,33.0,20.8
1996,1,Binh Duong,sweet_potato,annual,0.7,,4.4
1996,1,Binh Phuoc,cassava,annual,2.7,,29.1
1996,1,Binh Phuoc,maize,annual,3.9,21.8,8.5
1996,1,Binh Phuoc,rice,main_rainy,20.6,15.0,30.9
1996,1,Binh Phuoc,rice,winter_spring,1.4,27.1,3.8
1996,1,Binh Phuoc,sweet_potato,annual,0.8,,4.6
1996,1,Binh Thuan,cassava,annual,5.8,,40.0
1996,1,Binh Thuan,maize,annual,8.2,23.7,19.4
1996,1,Binh Thuan,rice,main_rainy,42.3,29.2,123.6
1996,1,Binh Thuan,rice,summer_autumn_fall,21.2,36.2,76.8
1996,1,Binh Thuan,rice,winter_spring,7.7,40.3,31.0
1996,1,Binh Thuan,sweet_potato,annual,6.3,,34.8
1996,1,Ca Mau,maize,annual,0.2,30.0,0.6
1996,1,Ca Mau,rice,main_rainy,166.1,28.8,478.9
1996,1,Ca Mau,rice,summer_autumn_fall,34.6,33.6,116.1
1996,1,Ca Mau,rice,winter_spring,0.4,40.0,1.6
1996,1,Ca Mau,sweet_potato,annual,0.3,,2.8
1996,1,Can Tho,maize,annual,0.9,40.0,3.6
1996,1,Can Tho,rice,main_rainy,8.4,27.6,23.2
1996,1,Can Tho,rice,summer_autumn_fall,233.8,36.6,855.6
1996,1,Can Tho,rice,winter_spring,163.6,56.5,924.3
1996,1,Can Tho,sweet_potato,annual,1.2,,11.9
1996,1,Cao Bang,cassava,annual,2.6,,9.2
1996,1,Cao Bang,maize,annual,33.0,17.9,59.1
1996,1,Cao Bang,rice,main_rainy,25.1,29.0,73.1
1996,1,Cao Bang,rice,winter_spring,2.6,42.3,11.0
1996,1,Cao Bang,sweet_potato,annual,2.9,,10.0
1996,1,Da Nang,maize,annual,0.1,30.0,0.3
1996,1,Da Nang,rice,main_rainy,5.6,41.6,23.3
1996,1,Da Nang,rice,summer_autumn_fall,2.0,49.0,9.8
1996,1,Da Nang,rice,winter_spring,5.8,43.8,25.4
1996,1,Da Nang,sweet_potato,annual,4.4,,19.0
1996,1,Dak Lak,cassava,annual,5.4,,48.6
1996,1,Dak Lak,maize,annual,22.4,31.7,71.0
1996,1,Dak Lak,rice,main_rainy,47.6,29.7,141.6
1996,1,Dak Lak,rice,winter_spring,13.9,40.1,55.7
1996,1,Dak Lak,sweet_potato,annual,4.0,,26.0
1996,1,Dak Nong,cassava,annual,,,
1996,1,Dak Nong,maize,annual,,,
1996,1,Dak Nong,rice,main_rainy,,,
1996,1,Dak Nong,rice,winter_spring,,,
1996,1,Dak Nong,sweet_potato,annual,,,
1996,1,Dien Bien,cassava,annual,,,
1996,1,Dien Bien,maize,annual,,,
1996,1,Dien Bien,rice,main_rainy,,,
1996,1,Dien Bien,rice,winter_spring,,,
1996,1,Dien Bien,sweet_potato,annual,,,
1996,1,Dong Nai,cassava,annual,12.7,,119.4
1996,1,Dong Nai,maize,annual,64.5,36.0,232.2
1996,1,Dong Nai,rice,main_rainy,34.1,27.4,93.3
1996,1,Dong Nai,rice,summer_autumn_fall,22.6,34.2,77.3
1996,1,Dong Nai,rice,winter_spring,13.2,40.0,52.8
1996,1,Dong Nai,sweet_potato,annual,,,
1996,1,Dong Thap,maize,annual,2.4,56.3,13.5
1996,1,Dong Thap,rice,main_rainy,0.5,34.0,1.7
1996,1,Dong Thap,rice,summer_autumn_fall,201.0,36.5,734.4
1996,1,Dong Thap,rice,winter_spring,189.3,52.0,983.9
1996,1,Dong Thap,sweet_potato,annual,1.4,,23.5
1996,1,Gia Lai,cassava,annual,24.3,,78.7
1996,1,Gia Lai,maize,annual,17.0,21.7,36.9
1996,1,Gia Lai,rice,main_rainy,46.1,18.3,84.4
1996,1,Gia Lai,rice,winter_spring,8.2,44.8,36.7
1996,1,Gia Lai,sweet_potato,annual,4.1,,8.8
