province_name,year,commodity,season,area_thousand_ha,yield_ta_per_ha,production_thousand_tonnes,avg_temperature,min_temperature,max_temperature,surface_temperature,wet_bulb_temperature,precipitation,solar_radiation,relative_humidity,wind_speed,surface_pressure,latitude_center,longitude_center,latitude_min,longitude_min,latitude_max,longitude_max,surface_elevation,avg_ndvi,soil_ph_level,soil_organic_carbon,soil_nitrogen_content,soil_sand_ratio,soil_clay_ratio
Ba Ria - Vung Tau,1995,rice,winter_spring,3.7,35.9,13.3,27.12076923076923,19.56,32.74,28.48923076923077,25.00692307692308,4.132307692307692,19.966153846153848,78.4076923076923,5.0,100.53923076923076,10.6278105,107.2803521,10.3667476,107.0841935,10.3669524,107.0844266,101.0,0.581,5.9,1.35,0.1212,30.5,37.9
Ba Ria - Vung Tau,1995,sweet_potato,annual,1.4,28.5714,4.0,27.12076923076923,19.56,32.74,28.48923076923077,25.00692307692308,4.132307692307692,19.966153846153848,78.4076923076923,5.0,100.53923076923076,10.6278105,107.2803521,10.3667476,107.0841935,10.3669524,107.0844266,101.0,0.581,5.9,1.35,0.1212,30.5,37.9
Bac Giang,1995,cassava,annual,7.5,77.3333,58.0,22.03076923076923,2.88,35.53,22.220769230769232,20.32384615384615,3.333846153846154,13.754615384615384,82.21153846153847,2.327692307692308,99.35461538461536,21.3586912,106.2747677,21.1219509,105.8805752,21.6262727,107.0335769,13.0,0.5084,6.3,1.48,0.121,27.0,34.7
Bac Giang,1995,maize,annual,7.8,17.8,13.9,22.03076923076923,2.88,35.53,22.220769230769232,20.32384615384615,3.333846153846154,13.754615384615384,82.21153846153847,2.327692307692308,99.35461538461536,21.3586912,106.2747677,21.1219509,105.8805752,21.6262727,107.0335769,13.0,0.5084,6.3,1.48,0.121,27.0,34.7
Bac Giang,1995,rice,main_rainy,60.3,27.7,167.1,22.03076923076923,2.88,35.53,22.220769230769232,20.32384615384615,3.333846153846154,13.754615384615384,82.21153846153847,2.327692307692308,99.35461538461536,21.3586912,106.2747677,21.1219509,105.8805752,21.6262727,107.0335769,13.0,0.5084,6.3,1.48,0.121,27.0,34.7
Bac Giang,1995,rice,winter_spring,49.4,24.9,122.8,22.03076923076923,2.88,35.53,22.220769230769232,20.32384615384615,3.333846153846154,13.754615384615384,82.21153846153847,2.327692307692308,99.35461538461536,21.3586912,106.2747677,21.1219509,105.8805752,21.6262727,107.0335769,13.0,0.5084,6.3,1.48,0.121,27.0,34.7
Bac Giang,1995,sweet_potato,annual,21.2,58.4434,123.9,22.03076923076923,2.88,35.53,22.220769230769232,20.32384615384615,3.333846153846154,13.754615384615384,82.21153846153847,2.327692307692308,99.35461538461536,21.3586912,106.2747677,21.1219509,105.8805752,21.6262727,107.0335769,13.0,0.5084,6.3,1.48,0.121,27.0,34.7
Bac Kan,1995,cassava,annual,1.5,97.3333,14.6,21.39307692307693,2.92,35.47,21.449230769230773,19.62692307692308,3.126923076923077,13.64153846153846,81.86538461538461,1.3299999999999998,97.7553846153846,22.2220567,105.8681756,21.804335,105.4311192,22.7413755,106.2469976,146.0,0.5573,6.0,1.22,0.1456,22.1,40.0
Bac Kan,1995,maize,annual,3.3,15.5,5.1,21.39307692307693,2.92,35.47,21.449230769230773,19.62692307692308,3.126923076923077,13.64153846153846,81.86538461538461,1.3299999999999998,97.7553846153846,22.2220567,105.8681756,21.804335,105.4311192,22.7413755,106.2469976,146.0,0.5573,6.0,1.22,0.1456,22.1,40.0
Bac Kan,1995,rice,main_rainy,14.5,27.9,40.5,21.39307692307693,2.92,35.47,21.449230769230773,19.62692307692308,3.126923076923077,13.64153846153846,81.86538461538461,1.3299999999999998,97.7553846153846,22.2220567,105.8681756,21.804335,105.4311192,22.7413755,106.2469976,146.0,0.5573,6.0,1.22,0.1456,22.1,40.0
Bac Kan,1995,rice,winter_spring,3.6,28.6,10.3,21.39307692307693,2.92,35.47,21.449230769230773,19.62692307692308,3.126923076923077,13.64153846153846,81.86538461538461,1.3299999999999998,97.7553846153846,22.2220567,105.8681756,21.804335,105.4311192,22.7413755,106.2469976,146.0,0.5573,6.0,1.22,0.1456,22.1,40.0
Bac Kan,1995,sweet_potato,annual,0.3,26.6667,0.8,21.39307692307693,2.92,35.47,21.449230769230773,19.62692307692308,3.126923076923077,13.64153846153846,81.86538461538461,1.3299999999999998,97.7553846153846,22.2220567,105.8681756,21.804335,105.4311192,22.7413755,106.2469976,146.0,0.5573,6.0,1.22,0.1456,22.1,40.0
Bac Lieu,1995,maize,annual,0.2,20.0,0.4,27.08692307692308,17.85,38.42,27.72846153846154,25.01230769230769,5.738461538461538,18.70692307692308,80.3076923076923,3.0492307692307694,100.92923076923076,9.401815,105.4487128,8.291231,105.2323669,9.6375498,106.0553036,3.0,0.5176,5.4,2.75,0.3489,34.2,39.1
Bac Lieu,1995,rice,main_rainy,111.6,38.7,432.0,27.08692307692308,17.85,38.42,27.72846153846154,25.01230769230769,5.738461538461538,18.70692307692308,80.3076923076923,3.0492307692307694,100.92923076923076,9.401815,105.4487128,8.291231,105.2323669,9.6375498,106.0553036,3.0,0.5176,5.4,2.75,0.3489,34.2,39.1
Bac Lieu,1995,rice,summer_autumn_fall,18.5,33.7,62.3,27.08692307692308,17.85,38.42,27.72846153846154,25.01230769230769,5.738461538461538,18.70692307692308,80.3076923076923,3.0492307692307694,100.92923076923076,9.401815,105.4487128,8.291231,105.2323669,9.6375498,106.0553036,3.0,0.5176,5.4,2.75,0.3489,34.2,39.1
Bac Lieu,1995,sweet_potato,annual,0.3,46.6667,1.4,27.08692307692308,17.85,38.42,27.72846153846154,25.01230769230769,5.738461538461538,18.70692307692308,80.3076923076923,3.0492307692307694,100.92923076923076,9.401815,105.4487128,8.291231,105.2323669,9.6375498,106.0553036,3.0,0.5176,5.4,2.75,0.3489,34.2,39.1
Bac Ninh,1995,maize,annual,3.9,18.7,7.3,23.0,3.84,37.04,23.192307692307693,21.31615384615385,3.506153846153846,13.754615384615384,82.49615384615385,2.3069230769230766,100.89,21.0782579,106.2172111,20.969332,105.8805752,21.6262727,107.0335769,3.0,0.41,6.1,1.24,0.1541,24.5,41.9
Bac Ninh,1995,rice,main_rainy,39.4,31.2,122.9,23.0,3.84,37.04,23.192307692307693,21.31615384615385,3.506153846153846,13.754615384615384,82.49615384615385,2.3069230769230766,100.89,21.0782579,106.2172111,20.969332,105.8805752,21.6262727,107.0335769,3.0,0.41,6.1,1.24,0.1541,24.5,41.9
Bac Ninh,1995,rice,winter_spring,39.5,31.6,125.0,23.0,3.84,37.04,23.192307692307693,21.31615384615385,3.506153846153846,13.754615384615384,82.49615384615385,2.3069230769230766,100.89,21.0782579,106.2172111,20.969332,105.8805752,21.6262727,107.0335769,3.0,0.41,6.1,1.24,0.1541,24.5,41.9
Bac Ninh,1995,sweet_potato,annual,4.6,65.6522,30.2,23.0,3.84,37.04,23.192307692307693,21.31615384615385,3.506153846153846,13.754615384615384,82.49615384615385,2.3069230769230766,100.89,21.0782579,106.2172111,20.969332,105.8805752,21.6262727,107.0335769,3.0,0.41,6.1,1.24,0.1541,24.5,41.9
Ben Tre,1995,maize,annual,1.2,25.8,3.1,27.048461538461535,21.79,30.9,27.701538461538465,25.39923076923077,5.253076923076923,19.63153846153846,82.34153846153846,4.89,100.9453846153846,10.0714766,106.5924532,9.4272857,106.0275158,10.3403324,106.9933717,-1.0,0.5875,6.6,3.33,0.3147,23.2,37.7
Ben Tre,1995,rice,main_rainy,49.6,30.5,151.2,27.048461538461535,21.79,30.9,27.701538461538465,25.39923076923077,5.253076923076923,19.63153846153846,82.34153846153846,4.89,100.9453846153846,10.0714766,106.5924532,9.4272857,106.0275158,10.3403324,106.9933717,-1.0,0.5875,6.6,3.33,0.3147,23.2,37.7
Ben Tre,1995,rice,summer_autumn_fall,21.0,36.7,77.0,27.048461538461535,21.79,30.9,27.701538461538465,25.39923076923077,5.253076923076923,19.63153846153846,82.34153846153846,4.89,100.9453846153846,10.0714766,106.5924532,9.4272857,106.0275158,10.3403324,106.9933717,-1.0,0.5875,6.6,3.33,0.3147,23.2,37.7
Ben Tre,1995,rice,winter_spring,22.1,41.2,91.1,27.048461538461535,21.79,30.9,27.701538461538465,25.39923076923077,5.253076923076923,19.63153846153846,82.34153846153846,4.89,100.9453846153846,10.0714766,106.5924532,9.4272857,106.0275158,10.3403324,106.9933717,-1.0,0.5875,6.6,3.33,0.3147,23.2,37.7
Ben Tre,1995,sweet_potato,annual,1.3,76.9231,10.0,27.048461538461535,21.79,30.9,27.701538461538465,25.39923076923077,5.253076923076923,19.63153846153846,82.34153846153846,4.89,100.9453846153846,10.0714766,106.5924532,9.4272857,106.0275158,10.3403324,106.9933717,-1.0,0.5875,6.6,3.33,0.3147,23.2,37.7
Binh Dinh,1995,cassava,annual,10.9,56.2385,61.3,23.393846153846155,11.78,36.22,23.338461538461537,21.733846153846155,4.72076923076923,18.113076923076925,83.86999999999999,0.0769230769230769,96.19384615384617,13.9481884,108.8531771,13.5152166,108.6011138,14.7032024,109.5849213,29.0,0.5267,6.3,1.65,0.1361,33.3,39.0
Binh Dinh,1995,maize,annual,1.0,31.0,3.1,23.393846153846155,11.78,36.22,23.338461538461537,21.733846153846155,4.72076923076923,18.113076923076925,83.86999999999999,0.0769230769230769,96.19384615384617,13.9481884,108.8531771,13.5152166,108.6011138,14.7032024,109.5849213,29.0,0.5267,6.3,1.65,0.1361,33.3,39.0
Binh Dinh,1995,rice,main_rainy,38.3,24.8,94.8,23.393846153846155,11.78,36.22,23.338461538461537,21.733846153846155,4.72076923076923,18.113076923076925,83.86999999999999,0.0769230769230769,96.19384615384617,13.9481884,108.8531771,13.5152166,108.6011138,14.7032024,109.5849213,29.0,0.5267,6.3,1.65,0.1361,33.3,39.0
Binh Dinh,1995,rice,summer_autumn_fall,35.2,37.6,132.5,23.393846153846155,11.78,36.22,23.338461538461537,21.733846153846155,4.72076923076923,18.113076923076925,83.86999999999999,0.0769230769230769,96.19384615384617,13.9481884,108.8531771,13.5152166,108.6011138,14.7032024,109.5849213,29.0,0.5267,6.3,1.65,0.1361,33.3,39.0
Binh Dinh,1995,rice,winter_spring,45.0,38.9,175.0,23.393846153846155,11.78,36.22,23.338461538461537,21.733846153846155,4.72076923076923,18.113076923076925,83.86999999999999,0.0769230769230769,96.19384615384617,13.9481884,108.8531771,13.5152166,108.6011138,14.7032024,109.5849213,29.0,0.5267,6.3,1.65,0.1361,33.3,39.0
Binh Dinh,1995,sweet_potato,annual,1.2,48.3333,5.8,23.393846153846155,11.78,36.22,23.338461538461537,21.733846153846155,4.72076923076923,18.113076923076925,83.86999999999999,0.0769230769230769,96.19384615384617,13.9481884,108.8531771,13.5152166,108.6011138,14.7032024,109.5849213,29.0,0.5267,6.3,1.65,0.1361,33.3,39.0
Binh Duong,1995,cassava,annual,6.1,72.1311,44.0,27.09384615384615,12.98,41.86,27.896153846153844,24.17076923076923,4.428461538461539,19.642307692307693,75.13076923076923,1.5046153846153845,99.61076923076924,11.3617868,106.7904995,10.8634587,106.3273346,11.5015885,106.966694,67.0,0.71,5.4,1.26,0.1531,34.8,37.1
Binh Duong,1995,maize,annual,0.6,8.3,0.5,27.09384615384615,12.98,41.86,27.896153846153844,24.17076923076923,4.428461538461539,19.642307692307693,75.13076923076923,1.5046153846153845,99.61076923076924,11.3617868,106.7904995,10.8634587,106.3273346,11.5015885,106.966694,67.0,0.71,5.4,1.26,0.1531,34.8,37.1
Binh Duong,1995,rice,main_rainy,19.7,22.2,43.7,27.09384615384615,12.98,41.86,27.896153846153844,24.17076923076923,4.428461538461539,19.642307692307693,75.13076923076923,1.5046153846153845,99.61076923076924,11.3617868,106.7904995,10.8634587,106.3273346,11.5015885,106.966694,67.0,0.71,5.4,1.26,0.1531,34.8,37.1
Binh Duong,1995,rice,summer_autumn_fall,3.5,30.0,10.5,27.09384615384615,12.98,41.86,27.896153846153844,24.17076923076923,4.428461538461539,19.642307692307693,75.13076923076923,1.5046153846153845,99.61076923076924,11.3617868,106.7904995,10.8634587,106.3273346,11.5015885,106.966694,67.0,0.71,5.4,1.26,0.1531,34.8,37.1
Binh Duong,1995,rice,winter_spring,5.6,31.8,17.8,27.09384615384615,12.98,41.86,27.896153846153844,24.17076923076923,4.428461538461539,19.642307692307693,75.13076923076923,1.5046153846153845,99.61076923076924,11.3617868,106.7904995,10.8634587,106.3273346,11.5015885,106.966694,67.0,0.71,5.4,1.26,0.1531,34.8,37.1
Binh Duong,1995,sweet_potato,annual,0.6,23.3333,1.4,27.09384615384615,12.98,41.86,27.896153846153844,24.17076923076923,4.428461538461539,19.642307692307693,75.13076923076923,1.5046153846153845,99.61076923076924,11.3617868,106.7904995,10.8634587,106.3273346,11.5015885,106.966694,67.0,0.71,5.4,1.26,0.1531,34.8,37.1
Binh Phuoc,1995,cassava,annual,7.3,89.726,65.5,26.578461538461536,13.77,41.99,26.6,23.66,4.164615384615384,19.642307692307693,74.7976923076923,0.1684615384615384,98.78615384615384,11.8000378,106.9151381,11.3015859,106.4116112,12.2984546,107.4271366,172.0,0.6861,5.2,2.25,0.1758,30.6,36.4
Binh Phuoc,1995,maize,annual,3.1,8.7,2.7,26.578461538461536,13.77,41.99,26.6,23.66,4.164615384615384,19.642307692307693,74.7976923076923,0.1684615384615384,98.78615384615384,11.8000378,106.9151381,11.3015859,106.4116112,12.2984546,107.4271366,172.0,0.6861,5.2,2.25,0.1758,30.6,36.4
Binh Phuoc,1995,rice,main_rainy,25.0,14.8,37.1,26.578461538461536,13.77,41.99,26.6,23.66,4.164615384615384,19.642307692307693,74.7976923076923,0.1684615384615384,98.78615384615384,11.8000378,106.9151381,11.3015859,106.4116112,12.2984546,107.4271366,172.0,0.6861,5.2,2.25,0.1758,30.6,36.4
Binh Phuoc,1995,rice,winter_spring,1.3,24.6,3.2,26.578461538461536,13.77,41.99,26.6,23.66,4.164615384615384,19.642307692307693,74.7976923076923,0.1684615384615384,98.78615384615384,11.8000378,106.9151381,11.3015859,106.4116112,12.2984546,107.4271366,172.0,0.6861,5.2,2.25,0.1758,30.6,36.4
Binh Phuoc,1995,sweet_potato,annual,0.7,20.0,1.4,26.578461538461536,13.77,41.99,26.6,23.66,4.164615384615384,19.642307692307693,74.7976923076923,0.1684615384615384,98.78615384615384,11.8000378,106.9151381,11.3015859,106.4116112,12.2984546,107.4271366,172.0,0.6861,5.2,2.25,0.1758,30.6,36.4
Binh Thuan,1995,cassava,annual,5.6,63.3929,35.5,25.903846153846157,16.09,34.04,26.34307692307692,23.91230769230769,3.747692307692307,19.49,80.20769230769231,2.9446153846153846,99.12923076923076,11.0966151,108.0886404,10.9635906,107.9982715,10.9735906,108.0082715,37.0,0.6105,6.3,0.88,0.102,32.6,39.1
Binh Thuan,1995,maize,annual,6.9,25.4,17.5,25.903846153846157,16.09,34.04,26.34307692307692,23.91230769230769,3.747692307692307,19.49,80.20769230769231,2.9446153846153846,99.12923076923076,11.0966151,108.0886404,10.9635906,107.9982715,10.9735906,108.0082715,37.0,0.6105,6.3,0.88,0.102,32.6,39.1
Binh Thuan,1995,rice,main_rainy,40.6,27.2,110.6,25.903846153846157,16.09,34.04,26.34307692307692,23.91230769230769,3.747692307692307,19.49,80.20769230769231,2.9446153846153846,99.12923076923076,11.0966151,108.0886404,10.9635906,107.9982715,10.9735906,108.0082715,37.0,0.6105,6.3,0.88,0.102,32.6,39.1
Binh Thuan,1995,rice,summer_autumn_fall,19.4,39.8,77.2,25.903846153846157,16.09,34.04,26.34307692307692,23.91230769230769,3.747692307692307,19.49,80.20769230769231,2.9446153846153846,99.12923076923076,11.0966151,108.0886404,10.9635906,107.9982715,10.9735906,108.0082715,37.0,0.6105,6.3,0.88,0.102,32.6,39.1
Binh Thuan,1995,rice,winter_spring,5.3,40.4,21.4,25.903846153846157,16.09,34.04,26.34307692307692,23.91230769230769,3.747692307692307,19.49,80.20769230769231,2.9446153846153846,99.12923076923076,11.0966151,108.0886404,10.9635906,107.9982715,10.9735906,108.0082715,37.0,0.6105,6.3,0.88,0.102,32.6,39.1
Binh Thuan,1995,sweet_potato,annual,6.7,45.3731,30.4,25.903846153846157,16.09,34.04,26.34307692307692,23.91230769230769,3.747692307692307,19.49,80.20769230769231,2.9446153846153846,99.12923076923076,11.0966151,108.0886404,10.9635906,107.9982715,10.9735906,108.0082715,37.0,0.6105,6.3,0.88,0.102,32.6,39.1
Ca Mau,1995,maize,annual,0.2,30.0,0.6,27.413846153846155,19.73,36.86,28.531538461538464,25.30307692307692,5.912307692307692,18.91769230769231,79.27307692307691,3.6853846153846153,100.93076923076924,9.1080394,104.8979779,8.1790665,103.4821147,9.6375498,106.0553036,2.0,0.5395,5.8,4.95,0.3266,29.9,43.2
Ca Mau,1995,rice,main_rainy,169.5,26.2,444.1,27.413846153846155,19.73,36.86,28.531538461538464,25.30307692307692,5.912307692307692,18.91769230769231,79.27307692307691,3.6853846153846153,100.93076923076924,9.1080394,104.8979779,8.1790665,103.4821147,9.6375498,106.0553036,2.0,0.5395,5.8,4.95,0.3266,29.9,43.2
Ca Mau,1995,rice,summer_autumn_fall,17.5,49.9,87.4,27.413846153846155,19.73,36.86,28.531538461538464,25.30307692307692,5.912307692307692,18.91769230769231,79.27307692307691,3.6853846153846153,100.93076923076924,9.1080394,104.8979779,8.1790665,103.4821147,9.6375498,106.0553036,2.0,0.5395,5.8,4.95,0.3266,29.9,43.2
Ca Mau,1995,sweet_potato,annual,0.4,52.5,2.1,27.413846153846155,19.73,36.86,28.531538461538464,25.30307692307692,5.912307692307692,18.91769230769231,79.27307692307691,3.6853846153846153,100.93076923076924,9.1080394,104.8979779,8.1790665,103.4821147,9.6375498,106.0553036,2.0,0.5395,5.8,4.95,0.3266,29.9,43.2
Can Tho,1995,maize,annual,1.0,34.0,3.4,27.21076923076923,15.81,40.34,27.864615384615384,24.88230769230769,5.366923076923077,19.29769230769231,78.91615384615385,2.5730769230769237,100.90846153846154,10.122571,105.4595037,8.702505,105.2256784,10.3252088,106.4538443,-1.0,0.5083,5.6,2.53,0.3001,22.4,37.6
Can Tho,1995,rice,main_rainy,6.2,34.4,21.3,27.21076923076923,15.81,40.34,27.864615384615384,24.88230769230769,5.366923076923077,19.29769230769231,78.91615384615385,2.5730769230769237,100.90846153846154,10.122571,105.4595037,8.702505,105.2256784,10.3252088,106.4538443,-1.0,0.5083,5.6,2.53,0.3001,22.4,37.6
Can Tho,1995,rice,summer_autumn_fall,230.0,35.8,824.1,27.21076923076923,15.81,40.34,27.864615384615384,24.88230769230769,5.366923076923077,19.29769230769231,78.91615384615385,2.5730769230769237,100.90846153846154,10.122571,105.4595037,8.702505,105.2256784,10.3252088,106.4538443,-1.0,0.5083,5.6,2.53,0.3001,22.4,37.6
Can Tho,1995,rice,winter_spring,165.6,52.3,865.3,27.21076923076923,15.81,40.34,27.864615384615384,24.88230769230769,5.366923076923077,19.29769230769231,78.91615384615385,2.5730769230769237,100.90846153846154,10.122571,105.4595037,8.702505,105.2256784,10.3252088,106.4538443,-1.0,0.5083,5.6,2.53,0.3001,22.4,37.6
Can Tho,1995,sweet_potato,annual,1.3,71.5385,9.3,27.21076923076923,15.81,40.34,27.864615384615384,24.88230769230769,5.366923076923077,19.29769230769231,78.91615384615385,2.5730769230769237,100.90846153846154,10.122571,105.4595037,8.702505,105.2256784,10.3252088,106.4538443,-1.0,0.5083,5.6,2.53,0.3001,22.4,37.6
Cao Bang,1995,cassava,annual,2.5,58.0,14.5,18.71,-0.5,35.78,19.21153846153846,16.886153846153846,2.917692307692308,13.46923076923077,81.23307692307692,2.459230769230769,92.68846153846154,22.7663873,106.1218581,22.3569233,105.266713,23.1187947,106.8376464,209.0,0.5458,6.3,1.4,0.1025,23.1,35.1
Cao Bang,1995,maize,annual,32.5,17.0,55.3,18.71,-0.5,35.78,19.21153846153846,16.886153846153846,2.917692307692308,13.46923076923077,81.23307692307692,2.459230769230769,92.68846153846154,22.7663873,106.1218581,22.3569233,105.266713,23.1187947,106.8376464,209.0,0.5458,6.3,1.4,0.1025,23.1,35.1
Cao Bang,1995,rice,main_rainy,30.1,26.9,81.0,18.71,-0.5,35.78,19.21153846153846,16.886153846153846,2.917692307692308,13.46923076923077,81.23307692307692,2.459230769230769,92.68846153846154,22.7663873,106.1218581,22.3569233,105.266713,23.1187947,106.8376464,209.0,0.5458,6.3,1.4,0.1025,23.1,35.1
Cao Bang,1995,rice,winter_spring,3.3,34.5,11.4,18.71,-0.5,35.78,19.21153846153846,16.886153846153846,2.917692307692308,13.46923076923077,81.23307692307692,2.459230769230769,92.68846153846154,22.7663873,106.1218581,22.3569233,105.266713,23.1187947,106.8376464,209.0,0.5458,6.3,1.4,0.1025,23.1,35.1
Cao Bang,1995,sweet_potato,annual,2.9,35.5172,10.3,18.71,-0.5,35.78,19.21153846153846,16.886153846153846,2.917692307692308,13.46923076923077,81.23307692307692,2.459230769230769,92.68846153846154,22.7663873,106.1218581,22.3569233,105.266713,23.1187947,106.8376464,209.0,0.5458,6.3,1.4,0.1025,23.1,35.1
Da Nang,1995,maize,annual,0.1,30.0,0.3,24.66923076923077,15.72,35.13,24.85846153846154,23.185384615384617,7.194615384615385,17.79230769230769,84.42384615384616,2.051538461538461,99.30076923076923,16.0620055,108.0428018,14.9513535,107.2109165,16.3340091,109.0235567,58.0,0.6783,5.8,2.89,0.2158,41.3,30.8
Da Nang,1995,rice,main_rainy,5.6,40.2,22.5,24.66923076923077,15.72,35.13,24.85846153846154,23.185384615384617,7.194615384615385,17.79230769230769,84.42384615384616,2.051538461538461,99.30076923076923,16.0620055,108.0428018,14.9513535,107.2109165,16.3340091,109.0235567,58.0,0.6783,5.8,2.89,0.2158,41.3,30.8
Da Nang,1995,rice,summer_autumn_fall,2.0,48.5,9.7,24.66923076923077,15.72,35.13,24.85846153846154,23.185384615384617,7.194615384615385,17.79230769230769,84.42384615384616,2.051538461538461,99.30076923076923,16.0620055,108.0428018,14.9513535,107.2109165,16.3340091,109.0235567,58.0,0.6783,5.8,2.89,0.2158,41.3,30.8
Da Nang,1995,rice,winter_spring,5.8,37.2,21.6,24.66923076923077,15.72,35.13,24.85846153846154,23.185384615384617,7.194615384615385,17.79230769230769,84.42384615384616,2.051538461538461,99.30076923076923,16.0620055,108.0428018,14.9513535,107.2109165,16.3340091,109.0235567,58.0,0.6783,5.8,2.89,0.2158,41.3,30.8
Da Nang,1995,sweet_potato,annual,4.4,46.8182,20.6,24.66923076923077,15.72,35.13,24.85846153846154,23.185384615384617,7.194615384615385,17.79230769230769,84.42384615384616,2.051538461538461,99.30076923076923,16.0620055,108.0428018,14.9513535,107.2109165,16.3340091,109.0235567,58.0,0.6783,5.8,2.89,0.2158,41.3,30.8
Dak Lak,1995,cassava,annual,4.8,103.125,49.5,24.324615384615388,10.11,39.31,24.30307692307692,22.09384615384615,3.743846153846154,18.113076923076925,79.57000000000001,0.0453846153846153,96.51076923076924,13.2005395,108.1899903,12.1605291,107.48422,13.695333,109.6665477,620.0,0.6143,5.8,1.36,0.1369,32.7,34.5
Dak Lak,1995,maize,annual,19.5,25.9,50.6,24.324615384615388,10.11,39.31,24.30307692307692,22.09384615384615,3.743846153846154,18.113076923076925,79.57000000000001,0.0453846153846153,96.51076923076924,13.2005395,108.1899903,12.1605291,107.48422,13.695333,109.6665477,620.0,0.6143,5.8,1.36,0.1369,32.7,34.5
Dak Lak,1995,rice,main_rainy,54.4,26.2,142.5,24.324615384615388,10.11,39.31,24.30307692307692,22.09384615384615,3.743846153846154,18.113076923076925,79.57000000000001,0.0453846153846153,96.51076923076924,13.2005395,108.1899903,12.1605291,107.48422,13.695333,109.6665477,620.0,0.6143,5.8,1.36,0.1369,32.7,34.5
Dak Lak,1995,rice,winter_spring,14.6,33.8,49.4,24.324615384615388,10.11,39.31,24.30307692307692,22.09384615384615,3.743846153846154,18.113076923076925,79.57000000000001,0.0453846153846153,96.51076923076924,13.2005395,108.1899903,12.1605291,107.48422,13.695333,109.6665477,620.0,0.6143,5.8,1.36,0.1369,32.7,34.5
